aircraft_id,name,nation,manufacturer,year_introduced,role_primary,variant,speed_range,climb_range,turn_range,stability_range,dive_safety_range,ceiling_range,distance_range,fighter_role,bomber_role,recon_role,firepower_range,accuracy_range,ammo_range,weapon_type,firing_arc,airframe_strength_range,engine_durability_range,pilot_protection_range,fuel_vulnerability_range,reliability_range,maintenance_cost_range,repair_time_range,spare_parts_availability_range,training_difficulty_range,skill_ceiling_range,ace_synergy_range,hangar_size,runway_requirement_range,fuel_consumption_range,supply_strain_range,base_reputation_required,command_priority_tier,production_scarcity_range,crew_seats,firepower_rear,doctrine_tags

FRF001,Voisin III,France,Voisin,1914,Fighter,Base,3,2,2,7,2,4,6,1,4,6,3,4,5,MG,Flexible,3,3,1,6,6,3,3,7,3,3,2,Large,4,5,5,0,5,5,2,3,"early_war,gun_platform"

FRF002,Nieuport 11,France,Nieuport,1916,Fighter,Base,6,6,8,5,3,6,4,8,1,2,4,6,4,MG,Forward,2,2,1,7,5,3,3,6,6,7,6,Small,3,3,3,10,3,6,1,0,"mid_war,light_fighter,agile"

FRF003,Nieuport 17,France,Nieuport,1916,Fighter,Base,7,6,8,5,3,6,4,8,1,2,5,6,5,MG,Forward,3,3,2,6,5,3,3,6,6,8,7,Small,3,3,3,15,3,6,1,0,"mid_war,agile"

FRF004,SPAD VII,France,SPAD,1916,Fighter,Base,7,7,5,6,6,7,5,9,1,2,6,5,6,MG,Forward,4,4,3,5,6,4,4,6,6,7,7,Medium,4,4,4,20,2,5,1,0,"energy_fighter,boom_and_zoom"

FRF005,SPAD XIII,France,SPAD,1917,Fighter,Base,8,7,6,6,7,7,5,10,1,2,7,6,6,MG,Forward,5,5,3,5,7,4,4,6,6,9,9,Medium,4,5,4,35,1,5,1,0,"late_war,dominant"

FRF006,Morane-Saulnier Type N,France,Morane-Saulnier,1915,Fighter,Base,5,5,6,5,3,5,4,6,1,2,4,5,4,MG,Forward,3,3,1,7,5,3,3,6,5,6,5,Small,3,3,3,5,4,6,1,0,"early_war,transitional"

FRF007,Hanriot HD.1,France,Hanriot,1917,Fighter,Base,6,6,8,7,4,6,4,8,1,2,4,6,4,MG,Forward,3,3,2,6,7,3,3,7,4,7,6,Small,3,3,3,20,3,5,1,0,"stable_fighter,pilot_friendly"

FRB001,Voisin V,France,Voisin,1915,Bomber,Base,4,3,3,6,3,5,7,1,6,6,4,4,6,MG,Flexible,4,4,2,6,6,3,3,7,4,4,3,Large,4,5,5,5,4,5,2,4,"early_bomber"

FRB002,Breguet 14,France,Breguet,1917,Bomber,Base,7,6,5,6,5,6,7,4,8,6,6,5,6,MG,Mixed,5,5,3,5,7,4,4,6,5,7,6,Large,5,6,5,25,2,5,2,6,"fast_bomber,multirole"

FRB003,Letord Let.1,France,Letord,1917,Bomber,Base,5,4,3,5,4,5,7,2,7,6,5,4,6,MG,Flexible,5,5,3,6,6,4,4,6,6,6,5,Large,5,6,6,20,3,6,2,5,"bomber"

FRB004,Caudron R.11,France,Caudron,1917,Bomber,Base,6,5,4,5,5,6,7,3,7,6,6,5,6,MG,Flexible,5,5,3,5,6,4,4,6,6,6,5,Large,5,6,6,20,3,6,2,6,"escort_bomber"

FRB005,Breguet 16,France,Breguet,1918,Bomber,Base,4,4,3,5,5,5,8,1,9,4,7,4,7,MG,Flexible,6,6,3,5,6,5,5,5,7,6,5,Large,6,7,7,40,2,7,2,7,"heavy_bomber"

FRR001,Farman F.40,France,Farman,1915,Recon,Base,4,3,3,6,3,5,6,1,3,8,3,4,6,MG,Flexible,4,4,2,6,6,3,3,7,3,4,3,Medium,4,4,4,0,5,5,2,3,"early_recon"

FRR002,Salmson 2A2,France,Salmson,1917,Recon,Base,6,5,5,7,5,7,7,3,3,9,4,5,6,MG,Flexible,4,4,3,5,7,4,4,6,5,7,6,Medium,4,5,4,20,2,5,2,4,"late_war,recon_elite"

FRR003,Breguet 14 A2,France,Breguet,1917,Recon,Base,7,6,5,6,5,6,7,4,3,8,5,5,6,MG,Mixed,5,5,3,5,7,4,4,6,5,7,6,Medium,4,5,4,25,2,5,2,5,"fast_recon"

FRR004,Caudron G.4,France,Caudron,1915,Recon,Base,5,4,4,6,4,5,7,2,4,7,4,4,6,MG,Flexible,4,4,2,6,6,3,3,7,4,5,4,Medium,4,4,4,5,4,6,2,4,"recon_bomber"
